Tag, Frequences
<a>,506
<div>,500
<span>,328
<article>,161
<li>,133
<header>,87
<img>,79
<script>,55
<ul>,51
<section>,36
<meta>,33
<iframe>,12
<link>,9
<strong>,8
<td>,6
<nav>,4
<h2>,3
<p>,2
<tr>,2
<style>,2
<sup>,2
<table>,1
<title>,1
<source>,1
<h1>,1
<h5>,1
<!DOCTYPE>,1
<video>,1
<body>,1
<noscript>,1
<tbody>,1
<html>,1
<head>,1
<main>,1
<footer>,1
